event_name,jurisdiction,event_date,outcome,did_beta,standard_error,t_stat,rows,treated_share
EU MiCA stablecoin rules apply,EU,2024-06-30,peg_deviation,-0.0012657507953557341,0.00022045934822281302,-5.74142491828684,1267,0.2857142857142857
EU MiCA stablecoin rules apply,EU,2024-06-30,rolling_volatility_7d,0.00023443463183351148,0.00014570570220296989,1.6089598985422071,1267,0.2857142857142857
EU MiCA stablecoin rules apply,EU,2024-06-30,volume_market_cap_ratio,0.030587295984915826,0.008040328282578377,3.804234716534121,1267,0.2857142857142857
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,peg_deviation,-0.00029118724939134264,0.000221767444383498,-1.3130297379799278,1359,0.26637233259749815
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,rolling_volatility_7d,0.00014517118002413333,0.00016314399679818686,0.8898346422376403,1359,0.26637233259749815
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,volume_market_cap_ratio,0.19456186026215866,0.11851923050966683,1.6416058341375204,1359,0.26637233259749815
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,peg_deviation,-4.6509628002577585e-05,0.000295212431253049,-0.15754630590983024,1373,0.13182811361981064
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,rolling_volatility_7d,-0.0009886131661540223,0.00018601127300472173,-5.314802432048983,1373,0.13182811361981064
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,volume_market_cap_ratio,0.3738458625380458,0.15366768231138395,2.4328203361621905,1373,0.13182811361981064
Hong Kong first stablecoin issuer licences,HK,2026-04-10,peg_deviation,0.001851555185342193,0.0027863693741700815,0.6645045708965551,869,0.11737629459148446
Hong Kong first stablecoin issuer licences,HK,2026-04-10,rolling_volatility_7d,1.0331498633117267e-05,0.0005607647279904076,0.018423945225909424,869,0.11737629459148446
Hong Kong first stablecoin issuer licences,HK,2026-04-10,volume_market_cap_ratio,-0.05106009542980427,0.023724853757035612,-2.152177457138693,869,0.11737629459148446
