date,stablecoin,price,peg_value,market_cap,volume,jurisdiction,reserve_type,compliance_status,peg_currency,btc_volatility,eth_volatility,usd_short_rate,dxy,vix,volume_source
2023-01-01,DAI,0.999910750159222,1.0,5056050726.0,86042718,Global,crypto_collateral,partly_regulated,USD,0.003061117031333617,0.007990338841271517,0.04255000114440918,104.5199966430664,22.899999618530273,Yahoo Finance chart API
2023-01-02,DAI,1.000162359995801,1.0,5053579797.0,88933627,Global,crypto_collateral,partly_regulated,USD,0.003061117031333617,0.007990338841271517,0.04255000114440918,104.5199966430664,22.899999618530273,Yahoo Finance chart API
2023-01-03,DAI,1.000110319985025,1.0,5058345101.0,96981607,Global,crypto_collateral,partly_regulated,USD,0.003061117031333617,0.007990338841271517,0.04255000114440918,104.5199966430664,22.899999618530273,Yahoo Finance chart API
2023-01-04,DAI,0.9998530099693599,1.0,5058619852.0,150251337,Global,crypto_collateral,partly_regulated,USD,0.005813731600639826,0.017460830746674972,0.04400000095367432,104.25,22.010000228881836,Yahoo Finance chart API
2023-01-05,DAI,0.9997483300484109,1.0,5033918728.0,241104464,Global,crypto_collateral,partly_regulated,USD,0.005706733285961245,0.017452854966588213,0.04498000144958496,105.04000091552734,22.459999084472656,Yahoo Finance chart API
2023-01-06,DAI,1.0001676199476446,1.0,5016842826.0,114002789,Global,crypto_collateral,partly_regulated,USD,0.005206770561264245,0.015272087937753297,0.04493000030517578,103.87999725341797,21.1299991607666,Yahoo Finance chart API
2023-01-07,DAI,1.000323850077065,1.0,5005905382.0,83731352,Global,crypto_collateral,partly_regulated,USD,0.004899621146072699,0.015013088362379022,0.04493000030517578,103.87999725341797,21.1299991607666,Yahoo Finance chart API
2023-01-08,DAI,1.0005068000040018,1.0,5050032369.0,135351853,Global,crypto_collateral,partly_regulated,USD,0.004817335231103691,0.014174490163739872,0.04493000030517578,103.87999725341797,21.1299991607666,Yahoo Finance chart API
2023-01-09,DAI,0.9999585600306372,1.0,5065865236.0,212742350,Global,crypto_collateral,partly_regulated,USD,0.004886458580008019,0.015507453019978565,0.044829998016357425,103.0,21.969999313354492,Yahoo Finance chart API
2023-01-10,DAI,0.9998593699072353,1.0,5071835388.0,102779603,Global,crypto_collateral,partly_regulated,USD,0.005659028321003472,0.014597097249428039,0.04565000057220459,103.23999786376953,20.579999923706055,Yahoo Finance chart API
2023-01-11,DAI,1.0000100799763076,1.0,5072086857.0,145477438,Global,crypto_collateral,partly_regulated,USD,0.009956132761959538,0.01559275935496302,0.04554999828338623,103.19000244140625,21.09000015258789,Yahoo Finance chart API
2023-01-12,DAI,1.0003350700642393,1.0,5060248929.0,227025448,Global,crypto_collateral,partly_regulated,USD,0.017994528121878968,0.01316431209235247,0.044749999046325685,102.25,18.829999923706055,Yahoo Finance chart API
